s_sector,r_sector,lag,corr,pvalue,significant,n_obs
ConsumerStaples,SteelMaterials,5,0.019276183984694766,0.7640208770675573,False,245
ConsumerStaples,Technology,0,0.015917971172326767,0.8022472839166631,False,250
ConsumerStaples,Technology,1,-0.06924188091932539,0.27640639544583095,False,249
ConsumerStaples,Technology,2,-0.0984920217727298,0.12186769811950246,False,248
ConsumerStaples,Technology,3,-0.188422553921954,0.0029495599610072066,True,247
ConsumerStaples,Technology,4,-0.15525683481766628,0.014789040675871359,True,246
ConsumerStaples,Technology,5,-0.04740653712467438,0.4601193657970749,False,245
ConsumerStaples,ConsumerStaples,0,-0.056321193199127983,0.375209476336691,False,250
ConsumerStaples,ConsumerStaples,1,-0.08379209021823755,0.18754293646197734,False,249
ConsumerStaples,ConsumerStaples,2,-0.18153525196735434,0.0041275288520583086,True,248
ConsumerStaples,ConsumerStaples,3,-0.05327774502593529,0.4044667451334831,False,247
ConsumerStaples,ConsumerStaples,4,-0.06058028246520631,0.34404936366012717,False,246
ConsumerStaples,ConsumerStaples,5,-0.028338635280990853,0.6589306602491762,False,245
ConsumerStaples,ConsumerDiscretionary,0,0.035247218736516095,0.5791088444783339,False,250
ConsumerStaples,ConsumerDiscretionary,1,-0.058748273860163694,0.355921134466843,False,249
ConsumerStaples,ConsumerDiscretionary,2,-0.06383937450800051,0.3166884816706039,False,248
ConsumerStaples,ConsumerDiscretionary,3,-0.06605488555647265,0.30113722013913663,False,247
ConsumerStaples,ConsumerDiscretionary,4,-0.08001392139493764,0.21108645829673212,False,246
ConsumerStaples,ConsumerDiscretionary,5,-0.018513688227437042,0.7730958324609102,False,245
ConsumerStaples,Energy,0,0.1678619352727751,0.007820381381999426,True,250
ConsumerStaples,Energy,1,0.02774917328878103,0.6630143236954179,False,249
ConsumerStaples,Energy,2,-0.011613050208242982,0.8556104270886082,False,248
ConsumerStaples,Energy,3,-0.09222467841561172,0.14841465941403736,False,247
ConsumerStaples,Energy,4,-0.06471599161317307,0.3120542338654021,False,246
ConsumerStaples,Energy,5,-0.06330926749697043,0.32370668150921633,False,245
ConsumerStaples,IndustrialLogistics,0,0.08788921390756191,0.1659398274817923,False,250
ConsumerStaples,IndustrialLogistics,1,-0.017104793419340254,0.7882601138671433,False,249
ConsumerStaples,IndustrialLogistics,2,-0.033125063938166464,0.6036483954862123,False,248
ConsumerStaples,IndustrialLogistics,3,-0.11175824991308246,0.07960116736580561,False,247
ConsumerStaples,IndustrialLogistics,4,-0.16700000329689607,0.008679986904731783,True,246
ConsumerStaples,IndustrialLogistics,5,-0.045338062859055575,0.47994746184104586,False,245
ConsumerStaples,Healthcare,0,-0.05565552757607396,0.380888463169021,False,250
ConsumerStaples,Healthcare,1,-0.0727183257145966,0.2529488317120789,False,249
ConsumerStaples,Healthcare,2,-0.06647527777729191,0.2970785623329836,False,248
ConsumerStaples,Healthcare,3,-0.034151540306461024,0.5932261135949743,False,247
ConsumerStaples,Healthcare,4,-0.052820290852059644,0.4094792675601958,False,246
ConsumerStaples,Healthcare,5,-0.039471645433550875,0.538614780121519,False,245
ConsumerStaples,Utilities,0,0.10656787058875432,0.09269830624381162,False,250
ConsumerStaples,Utilities,1,0.045755107645589856,0.47229679574190087,False,249
ConsumerStaples,Utilities,2,-0.05358340880775613,0.4008113615439483,False,248
